address,zip_code,price,price_sqft,sqft,beds,baths,url,date_scraped
"2910 Avondale Ave, Knoxville, TN 37917",37917,200000,157,1269,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112910420200908190615787379000000/2910-avondale-ave-knoxville-tn-37917,2020-09-09
"2014 Still Water Ln, Knoxville, TN 37922",37922,440000,136,3234,4,4,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112910020200908175548860681000000/2014-still-water-ln-knoxville-tn-37922,2020-09-09
"801 Centeroak Dr, Knoxville, TN 37920",37920,110000,137,800,2,1,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112908420200821154605752327000000/801-centeroak-dr-knoxville-tn-37920,2020-09-09
"5839 Rain Cloud Rd, Knoxville, TN 37918",37918,194900,113,1718,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112908520200908180348787994000000/5839-rain-cloud-rd-knoxville-tn-37918,2020-09-09
"1533 Hidden Path Ln, Knoxville, TN 37918",37918,299900,146,2042,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112908620200908180651558362000000/1533-hidden-path-ln-knoxville-tn-37918,2020-09-09
"3900 Wayne Dr, Knoxville, TN 37914",37914,209900,174,1200,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112908720200908173942977717000000/3900-wayne-dr-knoxville-tn-37914,2020-09-09
"Rocky Plains Ln, Knoxville, TN 37918",37918,274900,152,1804,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112908020200908173537961791000000/rocky-plains-ln-knoxville-tn-37918,2020-09-09
"271 Saddle Ridge Dr, Knoxville, TN 37934",37934,449900,130,3449,4,4,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112907520200908140727608160000000/271-saddle-ridge-dr-knoxville-tn-37934,2020-09-09
"10625 Lone Star Way, Knoxville, TN 37932",37932,175000,162,1076,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112907120200908151406454422000000/10625-lone-star-way-knoxville-tn-37932,2020-09-09
"11225 Couch Mill Rd, Knoxville, TN 37931",37931,340000,130,2600,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112906920200828183346415981000000/11225-couch-mill-rd-knoxville-tn-37931,2020-09-09
"7525 Sevierville Pike, Knoxville, TN 37920",37920,225000,59,3800,2,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112906720200908005735388718000000/7525-sevierville-pike-knoxville-tn-37920,2020-09-09
"2554 Martin Luther King Jr Ave, Knoxville, TN 37914",37914,129900,123,1054,2,1,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112906320200908152557620982000000/2554-martin-luther-king-jr-ave-knoxville-tn-37914,2020-09-09
"725 Aeronca Rd, Knoxville, TN 37919",37919,259900,179,1450,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112904720200908141906809271000000/725-aeronca-rd-knoxville-tn-37919,2020-09-09
"733 Plainfield Rd, Knoxville, TN 37923",37923,315000,125,2507,5,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112904220200908135455763892000000/733-plainfield-rd-knoxville-tn-37923,2020-09-09
"316 Brooke Valley Blvd, Knoxville, TN 37922",37922,519900,188,2758,4,4,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112904120200908133522721185000000/316-brooke-valley-blvd-knoxville-tn-37922,2020-09-09
"1115 Westland Creek Blvd, Knoxville, TN 37923",37923,452500,177,2555,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112903120200908123550597276000000/1115-westland-creek-blvd-knoxville-tn-37923,2020-09-09
"514 Cedar Ave, Knoxville, TN 37917",37917,249900,189,1320,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112903020200904035311860345000000/514-cedar-ave-knoxville-tn-37917,2020-09-09
"307 Hialeah Dr, Knoxville, TN 37920",37920,145000,120,1201,2,1,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112902920200907161441542323000000/307-hialeah-dr-knoxville-tn-37920,2020-09-09
"8707 Villa Crest Cir, Knoxville, TN 37923",37923,289900,113,2550,4,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112885520200903152925962866000000/8707-villa-crest-cir-knoxville-tn-37923,2020-09-09
"240 Druid Dr Unit 1, Knoxville, TN 37920",37920,499000,215,2318,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112850320200901195651002323000000/240-druid-dr-unit-1-knoxville-tn-37920,2020-09-09
"4813 Skyline Dr, Knoxville, TN 37914",37914,259900,94,2748,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112802920200827234641712012000000/4813-skyline-dr-knoxville-tn-37914,2020-09-09
"9500 Mobile Dr, Knoxville, TN 37923",37923,221500,102,2166,4,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112826520200830213059232260000000/9500-mobile-dr-knoxville-tn-37923,2020-09-09
"407 Morelia Ave, Knoxville, TN 37917",37917,169900,124,1365,3,1,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112889020200905055032133196000000/407-morelia-ave-knoxville-tn-37917,2020-09-09
"225 Marine Rd, Knoxville, TN 37920",37920,189900,139,1360,3,1,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112901820200907181407363907000000/225-marine-rd-knoxville-tn-37920,2020-09-09
"1115 Fairfax Ave, Knoxville, TN 37917",37917,215000,143,1496,3,1,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112901320200907205203307072000000/1115-fairfax-ave-knoxville-tn-37917,2020-09-09
"815 Valley Glen Blvd, Knoxville, TN 37922",37922,433300,174,2483,4,4,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112901120200907233242690097000000/815-valley-glen-blvd-knoxville-tn-37922,2020-09-09
"855 Valley Glen Blvd, Knoxville, TN 37922",37922,480400,193,2483,4,4,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112901020200907173042856223000000/855-valley-glen-blvd-knoxville-tn-37922,2020-09-09
"2909 Split Oak Dr, Knoxville, TN 37920",37920,290000,119,2423,4,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112900620200907151014713179000000/2909-split-oak-dr-knoxville-tn-37920,2020-09-09
"2022 McCroskey Ave, Knoxville, TN 37917",37917,169900,147,1152,3,1,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112900320200907193830191619000000/2022-mccroskey-ave-knoxville-tn-37917,2020-09-09
"1513 Fair Dr, Knoxville, TN 37918",37918,179900,115,1558,2,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112873120200903142700455055000000/1513-fair-dr-knoxville-tn-37918,2020-09-09
"7301 Liberty Station Ln, Knoxville, TN 37920",37920,265000,148,1787,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112900120200907160622856566000000/7301-liberty-station-ln-knoxville-tn-37920,2020-09-09
"105 Mayflower Dr, Knoxville, TN 37920",37920,150000,139,1072,2,1,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112900020200902234750571143000000/105-mayflower-dr-knoxville-tn-37920,2020-09-09
"934 Ohio Ave, Knoxville, TN 37921",37921,118000,121,968,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112899520200905212558167864000000/934-ohio-ave-knoxville-tn-37921,2020-09-09
"1723 Branner St, Knoxville, TN 37917",37917,184900,160,1149,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112899420200904180405215627000000/1723-branner-st-knoxville-tn-37917,2020-09-09
"6633 Cochise Dr, Knoxville, TN 37918",37918,349000,124,2800,4,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112899220200907133040609145000000/6633-cochise-dr-knoxville-tn-37918,2020-09-09
"2000 Antelope Ln, Knoxville, TN 37932",37932,351099,133,2639,4,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112899120200907151226766567000000/2000-antelope-ln-knoxville-tn-37932,2020-09-09
"5201 Shady Dell Tr, Knoxville, TN 37914",37914,264900,110,2395,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112899020200907031137400259000000/5201-shady-dell-tr-knoxville-tn-37914,2020-09-09
"7710 Edith Keeler Ln, Knoxville, TN 37938",37938,219900,110,1984,3,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112898020200905034356027939000000/7710-edith-keeler-ln-knoxville-tn-37938,2020-09-09
"717 Crest Forest Rd, Knoxville, TN 37923",37923,199000,99,2000,4,3,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112892520200903170809582891000000/717-crest-forest-rd-knoxville-tn-37923,2020-09-09
"2425 Amber St, Knoxville, TN 37917",37917,154900,153,1008,3,2,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112885020200902181705726477000000/2425-amber-st-knoxville-tn-37917,2020-09-09
"5902 Dogwood Rd, Knoxville, TN 37918",37918,325000,117,2777,3,4,https://www.viewknoxvillerealestate.com/homes/tn/knoxville/knoxresa112766520200824184715702590000000/5902-dogwood-rd-knoxville-tn-37918,2020-09-09
